origin,factor,coef,odds_ratio,p_value,n_obs,n_stress,stress_rate,note
"ALL (pooled, controlling for origin)",keyrate,0.7943934422376471,2.2130982177059018,0.00535894615179578,903,428,0.4739756367663344,
"ALL (pooled, controlling for origin)",inflation,0.0008163616445599935,1.0008166949584227,0.9969218139518977,903,428,0.4739756367663344,
"ALL (pooled, controlling for origin)",usdrub_vol,-0.2580744401791257,0.7725377221200118,0.27368087684127007,903,428,0.4739756367663344,
"ALL (pooled, controlling for origin)",usdrub_ret20,-0.01882294289168841,0.9813531024039311,0.9006893063773646,903,428,0.4739756367663344,
"ALL (pooled, controlling for origin)",keyrate_chg60,0.04245000078219933,1.0433638876912263,0.8091487881332098,903,428,0.4739756367663344,
R1,keyrate,1.0008435894874075,2.7205759099288023,0.006350379994655563,204,43,0.2107843137254902,
R1,inflation,-0.32993279275689746,0.7189720519377097,0.2124842675588664,204,43,0.2107843137254902,
R1,usdrub_vol,0.03674994921037094,1.0374335773172845,0.8836553485609897,204,43,0.2107843137254902,
R1,usdrub_ret20,-0.08504093110473968,0.9184746894483465,0.6788240095221943,204,43,0.2107843137254902,
R1,keyrate_chg60,-0.07747852756231274,0.9254468957840951,0.7668661451638563,204,43,0.2107843137254902,
R2,keyrate,0.25126603344108744,1.2856520652829622,0.6619244713137517,275,233,0.8472727272727273,
R2,inflation,0.4756297534927113,1.6090271689706663,0.34184750647239137,275,233,0.8472727272727273,
R2,usdrub_vol,-0.6956996176507456,0.49872540880351246,0.17523211579848108,275,233,0.8472727272727273,
R2,usdrub_ret20,-0.10588184901343473,0.8995309222635118,0.6778016348160281,275,233,0.8472727272727273,
R2,keyrate_chg60,0.10489277454482648,1.1105915202898011,0.7258846883094701,275,233,0.8472727272727273,
R3,keyrate,0.12408484548220589,1.132111921506283,,271,6,0.02214022140221402,"L2-regularized (near-separated origin, p-value not valid)"
R3,inflation,-0.0015198505148905361,0.9984813038729968,,271,6,0.02214022140221402,"L2-regularized (near-separated origin, p-value not valid)"
R3,usdrub_vol,-0.4009818953402281,0.6696621849342052,,271,6,0.02214022140221402,"L2-regularized (near-separated origin, p-value not valid)"
R3,usdrub_ret20,0.08343946953055084,1.0870194155059305,,271,6,0.02214022140221402,"L2-regularized (near-separated origin, p-value not valid)"
R3,keyrate_chg60,0.9872463665677124,2.6838339929120485,,271,6,0.02214022140221402,"L2-regularized (near-separated origin, p-value not valid)"
R4,keyrate,0.7730055359518857,2.166267273538857,,153,146,0.954248366013072,"L2-regularized (near-separated origin, p-value not valid)"
R4,inflation,-0.05816347290385833,0.9434956988477412,,153,146,0.954248366013072,"L2-regularized (near-separated origin, p-value not valid)"
R4,usdrub_vol,0.044029438946972706,1.045013118521399,,153,146,0.954248366013072,"L2-regularized (near-separated origin, p-value not valid)"
R4,usdrub_ret20,-0.07789647992033395,0.9250601838909819,,153,146,0.954248366013072,"L2-regularized (near-separated origin, p-value not valid)"
R4,keyrate_chg60,1.3674890102620978,3.9254814662113096,,153,146,0.954248366013072,"L2-regularized (near-separated origin, p-value not valid)"
