isin,secid,segment,shortname,secname,matdate,ytm_years,type,listlevel,board
RU000A10BJ02,RU000A10BJ02,Corp_L1,АЛРОСА1Р3,,2026-04-24,-0.2299794661190965,Биржевая облигация,1,TQCB
RU000A1031Z2,RU000A1031Z2,Corp_L1,ВЭБ1P-29,,2026-05-01,-0.2108145106091718,Биржевая облигация,1,TQCB
RU000A106P97,RU000A106P97,Corp_L1,sСОПФДОМ6,,2027-08-26,1.108829568788501,Корпоративная облигация,1,TQCB
RU000A105EV1,RU000A105EV1,Corp_L1,ЕАБР П3-04,,2027-11-07,1.3086926762491444,Корпоративная облигация,1,TQCB
RU000A10DBE2,RU000A10DBE2,Corp_L1,sСОПФДОМ12,,2028-02-23,1.6043805612594113,Корпоративная облигация,1,TQCB
RU000A1042W6,RU000A1042W6,Corp_L1,ВЭБP-31,,2028-10-18,2.2559890485968515,Биржевая облигация,1,TQCB
RU000A100DQ4,RU000A100DQ4,Corp_L1,ИА ДОМ 9P2,,2029-04-05,2.7186858316221767,Корпоративная облигация,1,TQCB
RU000A1057B8,RU000A1057B8,Corp_L1,ЕАБР П3-03,,2029-09-14,3.162217659137577,Корпоративная облигация,1,TQCB
RU000A1019A0,RU000A1019A0,Corp_L1,ИА ДОМ 4P1,,2040-05-28,13.86447638603696,Корпоративная облигация,1,TQCB
RU000A0ZZCH9,RU000A0ZZCH9,Corp_L1,ИА ДОМ 5P2,,2043-04-28,16.78028747433265,Корпоративная облигация,1,TQCB
RU000A0ZZZ09,RU000A0ZZZ09,Corp_L1,ИА ДОМ 8P2,,2044-12-28,18.45037645448323,Корпоративная облигация,1,TQCB
RU000A0ZZNW5,RU000A0ZZNW5,Corp_L1,ИА ДОМ 4P2,,2047-09-28,21.19917864476386,Корпоративная облигация,1,TQCB
RU000A0ZZV86,RU000A0ZZV86,Corp_L1,ИА ДОМ 6P2,,2048-05-28,21.864476386036962,Корпоративная облигация,1,TQCB
RU000A100ZB9,RU000A100ZB9,Corp_L1,ИА ДОМ10P2,,2049-09-28,23.200547570157426,Корпоративная облигация,1,TQCB
